,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare
720,1,2,33,1,6.0,0,1,6,33.0
721,0,3,25,0,17.0,1,0,6,7.0542
722,0,2,28,0,34.0,0,0,5,13.0
723,0,2,23,0,50.0,0,0,6,13.0
724,1,1,29,0,27.0,1,0,6,53.1
725,0,3,19,0,20.0,0,0,6,8.6625
726,1,2,43,1,30.0,3,0,5,21.0
728,0,2,31,0,25.0,1,0,6,26.0
729,0,3,29,1,25.0,1,0,16,7.925
730,1,1,29,1,29.0,0,0,5,211.3375
731,0,3,24,0,11.0,0,0,4,18.7875
733,0,2,26,0,23.0,0,0,5,13.0
734,0,2,28,0,23.0,0,0,6,13.0
735,0,3,20,0,28.5,0,0,5,16.1
736,0,3,39,1,48.0,1,3,10,34.375
737,1,1,22,0,35.0,0,0,8,512.3292
741,0,1,29,0,36.0,1,0,5,78.85
742,1,1,37,1,21.0,2,2,8,262.375
743,0,3,17,0,24.0,1,0,6,16.1
744,1,3,18,0,31.0,0,0,17,7.925
745,0,1,28,0,70.0,1,1,9,71.0
746,0,3,27,0,16.0,1,1,9,20.25
747,1,2,21,1,30.0,0,0,6,13.0
748,0,1,25,0,19.0,1,0,6,53.1
749,0,3,23,0,31.0,0,0,6,7.75
750,1,2,17,1,4.0,1,1,5,23.0
751,1,3,19,0,6.0,0,1,6,12.475
752,0,3,32,0,33.0,0,0,6,9.5
753,0,3,18,0,23.0,0,0,6,7.8958
754,1,2,32,1,48.0,1,2,6,65.0
755,1,2,25,0,0.67,1,1,6,14.5
756,0,3,28,0,28.0,0,0,6,7.7958
757,0,2,24,0,18.0,0,0,5,11.5
758,0,3,28,0,34.0,0,0,6,8.05
759,1,1,56,1,33.0,0,0,6,86.5
761,0,3,30,0,41.0,0,0,16,7.125
762,1,3,21,0,20.0,0,0,4,7.2292
763,1,1,41,1,36.0,1,2,6,120.0
764,0,3,22,0,16.0,0,0,6,7.775
765,1,1,36,1,51.0,1,0,5,77.9583
767,0,3,18,1,30.5,0,0,6,7.75
769,0,3,32,0,32.0,0,0,4,8.3625
770,0,3,22,0,24.0,0,0,6,9.5
771,0,3,23,0,48.0,0,0,6,7.8542
772,0,2,17,1,57.0,0,0,11,10.5
774,1,2,37,1,54.0,1,3,5,23.0
775,0,3,39,0,18.0,0,0,6,7.75
777,1,3,29,1,5.0,0,0,6,12.475
779,1,1,53,1,43.0,0,1,5,211.3375
780,1,3,20,1,13.0,0,0,4,7.2292
781,1,1,41,1,17.0,1,0,5,57.0
782,0,1,22,0,29.0,0,0,6,30.0
784,0,3,16,0,25.0,0,0,18,7.05
785,0,3,34,0,25.0,0,0,6,7.25
786,1,3,25,1,18.0,0,0,7,7.4958
787,0,3,25,0,8.0,4,1,6,29.125
788,1,3,26,0,1.0,1,2,9,20.575
789,0,1,24,0,46.0,0,0,8,79.2
791,0,2,19,0,16.0,0,0,6,26.0
794,0,3,21,0,25.0,0,0,6,7.8958
795,0,2,18,0,39.0,0,0,5,13.0
796,1,1,27,1,49.0,0,0,5,25.9292
797,1,3,16,1,31.0,0,0,6,8.6833
798,0,3,28,0,30.0,0,0,4,7.2292
799,0,3,52,1,30.0,1,1,6,24.15
800,0,2,20,0,34.0,0,0,6,13.0
801,1,2,43,1,31.0,1,1,10,26.25
802,1,1,35,0,11.0,1,2,6,120.0
803,1,3,31,0,0.42,0,1,4,8.5167
804,1,3,23,0,27.0,0,0,6,6.975
805,0,3,25,0,31.0,0,0,6,7.775
806,0,1,22,0,39.0,0,0,6,0.0
807,0,3,31,1,18.0,0,0,6,7.775
808,0,2,17,0,39.0,0,0,6,13.0
809,1,1,46,1,33.0,1,0,6,53.1
810,0,3,22,0,26.0,0,0,4,7.8875
811,0,3,17,0,39.0,0,0,9,24.15
812,0,2,25,0,35.0,0,0,5,10.5
813,0,3,34,1,6.0,4,2,6,31.275
814,0,3,26,0,30.5,0,0,6,8.05
816,0,3,28,1,23.0,0,0,16,7.925
817,0,2,18,0,31.0,1,1,15,37.0042
818,0,3,32,0,43.0,0,0,6,6.45
819,0,3,28,0,10.0,3,2,6,27.9
820,1,1,50,1,52.0,1,1,5,93.5
821,1,3,17,0,27.0,0,0,6,8.6625
822,0,1,31,0,38.0,0,0,5,0.0
823,1,3,18,1,27.0,0,1,6,12.475
824,0,3,28,0,2.0,4,1,7,39.6875
827,1,2,21,0,1.0,0,2,15,37.0042
829,1,1,41,1,62.0,0,0,6,80.0
830,1,3,39,1,15.0,1,0,4,14.4542
831,1,2,31,0,0.83,1,1,5,18.75
833,0,3,22,0,23.0,0,0,6,7.8542
834,0,3,22,0,18.0,0,0,4,8.3
835,1,1,27,1,39.0,1,1,8,83.1583
836,0,3,16,0,21.0,0,0,6,8.6625
838,1,3,15,0,32.0,0,0,4,56.4958
840,0,3,27,0,20.0,0,0,16,7.925
841,0,2,24,0,16.0,0,0,11,10.5
842,1,1,23,1,30.0,0,0,6,31.0
843,0,3,26,0,34.5,0,0,4,6.4375
844,0,3,19,0,17.0,0,0,6,8.6625
845,0,3,19,0,42.0,0,0,9,7.55
847,0,3,18,0,35.0,0,0,6,7.8958
848,0,2,17,0,28.0,0,1,6,33.0
850,0,3,39,0,4.0,4,2,6,31.275
851,0,3,19,0,74.0,0,0,6,7.775
852,0,3,23,1,9.0,1,1,4,15.2458
853,1,1,25,1,16.0,0,1,8,39.4
854,0,2,45,1,44.0,1,0,6,26.0
855,1,3,26,1,18.0,0,1,6,9.35
856,1,1,42,1,45.0,1,1,5,164.8667
857,1,1,22,0,51.0,0,0,6,26.55
858,1,3,37,1,24.0,0,3,4,19.2583
860,0,3,23,0,41.0,2,0,6,14.1083
861,0,2,27,0,21.0,1,0,5,11.5
862,1,1,51,1,48.0,0,0,5,25.9292
864,0,2,22,0,24.0,0,0,6,13.0
865,1,2,24,1,42.0,0,0,6,13.0
866,1,2,28,1,27.0,1,0,13,13.8583
867,0,1,36,0,31.0,0,0,8,50.4958
869,1,3,31,0,4.0,1,1,6,11.1333
870,0,3,17,0,26.0,0,0,6,7.8958
871,1,1,48,1,47.0,1,1,5,52.5542
872,0,1,24,0,33.0,0,0,3,5.0
873,0,3,27,0,47.0,0,0,6,9.0
874,1,2,37,1,28.0,1,0,9,24.0
875,1,3,32,1,15.0,0,0,4,7.225
876,0,3,29,0,20.0,0,0,4,9.8458
877,0,3,20,0,19.0,0,0,6,7.8958
879,1,1,45,1,56.0,0,1,5,83.1583
880,1,2,44,1,25.0,0,1,6,26.0
881,0,3,18,0,33.0,0,0,6,7.8958
882,0,3,28,1,22.0,0,0,4,10.5167
883,0,2,29,0,28.0,0,0,16,10.5
884,0,3,22,0,25.0,0,0,15,7.05
885,0,3,36,1,39.0,0,5,6,29.125
886,0,2,21,0,27.0,0,0,6,13.0
887,1,1,28,1,19.0,0,0,6,30.0
889,1,1,21,0,26.0,0,0,6,30.0
890,0,3,19,0,32.0,0,0,6,7.75
