,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
871,1,1,48,1,47.0,1,1,5
872,0,1,24,0,33.0,0,0,3
873,0,3,27,0,47.0,0,0,6
874,1,2,37,1,28.0,1,0,9
875,1,3,32,1,15.0,0,0,4
876,0,3,29,0,20.0,0,0,4
877,0,3,20,0,19.0,0,0,6
879,1,1,45,1,56.0,0,1,5
880,1,2,44,1,25.0,0,1,6
881,0,3,18,0,33.0,0,0,6
882,0,3,28,1,22.0,0,0,4
883,0,2,29,0,28.0,0,0,16
884,0,3,22,0,25.0,0,0,15
885,0,3,36,1,39.0,0,5,6
886,0,2,21,0,27.0,0,0,6
887,1,1,28,1,19.0,0,0,6
889,1,1,21,0,26.0,0,0,6
890,0,3,19,0,32.0,0,0,6
